issue_ID,issue_title,remediation,assigned_person,severity,category,system,owner_team,status,created_date,last_updated,summary,tags
ISS-00145,Users at Noida Office cannot connect to Power BI: timeouts,"Validate scope: reproduce the issue described as 'Users at Noida Office cannot connect to Power BI: timeouts'. Gather diagnostics (logs, event traces, NetMon/PCAP) on DLP-Policy-3 and impacted clients. Identify blast radius by checking recent changes (patches, policy updates, cert renewals). Tune policy scope; add detection exception by hash/path; force agent sync and verify signatures. Apply targeted fix and document exact commands/GUI steps. Verify resolution with the requester; monitor for 24 hours; create problem record if it recurs.",Aarav Sharma,High,Security - DLP,DLP-Policy-3,OT/Plant IT,Resolved,2025-01-05 11:55:22,2025-02-01 09:55:22,Users at Noida Office cannot connect to Power BI: timeouts. Likely cause: driver regression after patch. Verified with logs; resolved via targeted configuration correction and validation tests.,"security---dlp,cert,auth,cache"
ISS-00146,High CPU on OneDrive-User-80 causing email delivery delays,"Validate scope: reproduce the issue described as 'High CPU on OneDrive-User-80 causing email delivery delays'. Gather diagnostics (logs, event traces, NetMon/PCAP) on Oracle-SCM-INV and impacted clients. Identify blast radius by checking recent changes (patches, policy updates, cert renewals). Coordinate maintenance window; apply vendor firmware; validate PLC/SCADA comms with loopback tests. Apply targeted fix and document exact commands/GUI steps. Verify resolution with the requester; monitor for 24 hours; create problem record if it recurs.",Arjun Chatterjee,Medium,Manufacturing OT,Oracle-SCM-INV,Mendix Dev,In Progress,2025-02-19 23:52:22,2025-03-10 06:52:22,High CPU on OneDrive-User-80 causing email delivery delays. Likely cause: outdated agent version. Verified with logs; resolved via targeted configuration correction and validation tests.,"manufacturing-ot,policy,auth,latency"
ISS-00147,Email delays to @partner.org after change on DLP-Policy-8,"Validate scope: reproduce the issue described as 'Email delays to @partner.org after change on DLP-Policy-8'. Gather diagnostics (logs, event traces, NetMon/PCAP) on Email-Exchange-49 and impacted clients. Identify blast radius by checking recent changes (patches, policy updates, cert renewals). Apply targeted fix and document exact commands/GUI steps. Verify resolution with the requester; monitor for 24 hours; create problem record if it recurs.",Aarav Sharma,Low,Endpoint,Email-Exchange-49,Cybersecurity,Resolved,2025-07-08 21:59:22,2025-08-05 00:59:22,Email delays to @partner.org after change on DLP-Policy-8. Likely cause: token cache corruption. Verified with logs; resolved via targeted configuration correction and validation tests.,"endpoint,latency,dns,cache"
ISS-00148,Users at Pune Plant cannot connect to Teams: policy conflict,"Validate scope: reproduce the issue described as 'Users at Pune Plant cannot connect to Teams: policy conflict'. Gather diagnostics (logs, event traces, NetMon/PCAP) on DLP-Policy-35 and impacted clients. Identify blast radius by checking recent changes (patches, policy updates, cert renewals). Apply targeted fix and document exact commands/GUI steps. Verify resolution with the requester; monitor for 24 hours; create problem record if it recurs.",Yash Agarwal,Low,Data & Analytics,DLP-Policy-35,Network Ops,Resolved,2024-08-20 18:00:22,2024-08-25 16:00:22,Users at Pune Plant cannot connect to Teams: policy conflict. Likely cause: driver regression after patch. Verified with logs; resolved via targeted configuration correction and validation tests.,"data-&-analytics,auth,policy,cert"
ISS-00149,Email delays to @partner.org after change on PLC-Cell-50,"Validate scope: reproduce the issue described as 'Email delays to @partner.org after change on PLC-Cell-50'. Gather diagnostics (logs, event traces, NetMon/PCAP) on VPN-Gateway-73 and impacted clients. Identify blast radius by checking recent changes (patches, policy updates, cert renewals). Adjust ACL/NAT and QoS; update route tables; clear ARP/conntrack where needed. Apply targeted fix and document exact commands/GUI steps. Verify resolution with the requester; monitor for 24 hours; create problem record if it recurs.",Vivaan Kulkarni,Medium,VPN,VPN-Gateway-73,Endpoint Engineering,Known Issue,2024-09-08 14:50:22,2024-09-15 16:50:22,Email delays to @partner.org after change on PLC-Cell-50. Likely cause: stale device record. Verified with logs; resolved via targeted configuration correction and validation tests.,"vpn,cache,driver,firmware"
ISS-00150,VPN split-tunnel issue for Teams at Mumbai DC,"Validate scope: reproduce the issue described as 'VPN split-tunnel issue for Teams at Mumbai DC'. Gather diagnostics (logs, event traces, NetMon/PCAP) on PLC-Cell-4 and impacted clients. Identify blast radius by checking recent changes (patches, policy updates, cert renewals). Re-run patch 5000043 with prerequisite servicing stack; rollback driver if regression. Apply targeted fix and document exact commands/GUI steps. Verify resolution with the requester; monitor for 24 hours; create problem record if it recurs.",Ritu Jain,Medium,Patch Mgmt,PLC-Cell-4,Data Platform,Known Issue,2025-03-21 17:06:22,2025-04-09 14:06:22,VPN split-tunnel issue for Teams at Mumbai DC. Likely cause: driver regression after patch. Verified with logs; resolved via targeted configuration correction and validation tests.,"patch-mgmt,cache,policy,dns"
ISS-00151,Users at Chennai Office cannot connect to Oracle AP: authentication loop,"Validate scope: reproduce the issue described as 'Users at Chennai Office cannot connect to Oracle AP: authentication loop'. Gather diagnostics (logs, event traces, NetMon/PCAP) on Mendix-OrderApp and impacted clients. Identify blast radius by checking recent changes (patches, policy updates, cert renewals). Tune policy scope; add detection exception by hash/path; force agent sync and verify signatures. Apply targeted fix and document exact commands/GUI steps. Verify resolution with the requester; monitor for 24 hours; create problem record if it recurs.",Vivaan Kulkarni,Medium,Security - EDR,Mendix-OrderApp,Oracle ERP,Open,2024-08-14 20:51:22,2024-08-26 04:51:22,Users at Chennai Office cannot connect to Oracle AP: authentication loop. Likely cause: misconfigured firewall rule. Verified with logs; resolved via targeted configuration correction and validation tests.,"security---edr,cert,auth,driver"
ISS-00152,SharePoint permissions drift on MDM-Intune-14 leads to timeouts,"Validate scope: reproduce the issue described as 'SharePoint permissions drift on MDM-Intune-14 leads to timeouts'. Gather diagnostics (logs, event traces, NetMon/PCAP) on EDR-Defender-72 and impacted clients. Identify blast radius by checking recent changes (patches, policy updates, cert renewals). Apply targeted fix and document exact commands/GUI steps. Verify resolution with the requester; monitor for 24 hours; create problem record if it recurs.",Kabir Iyer,Medium,Mendix App,EDR-Defender-72,Mendix Dev,Resolved,2025-01-25 23:23:22,2025-02-04 12:23:22,SharePoint permissions drift on MDM-Intune-14 leads to timeouts. Likely cause: driver regression after patch. Verified with logs; resolved via targeted configuration correction and validation tests.,"mendix-app,auth,permissions,dns"
ISS-00153,Email delays to @vendor.com after change on Oracle-SCM-INV,"Validate scope: reproduce the issue described as 'Email delays to @vendor.com after change on Oracle-SCM-INV'. Gather diagnostics (logs, event traces, NetMon/PCAP) on SharePoint-Site-88 and impacted clients. Identify blast radius by checking recent changes (patches, policy updates, cert renewals). Adjust ACL/NAT and QoS; update route tables; clear ARP/conntrack where needed. Apply targeted fix and document exact commands/GUI steps. Verify resolution with the requester; monitor for 24 hours; create problem record if it recurs.",Arjun Chatterjee,Medium,VPN,SharePoint-Site-88,Cloud Platform,In Progress,2024-11-06 00:40:22,2024-11-19 09:40:22,Email delays to @vendor.com after change on Oracle-SCM-INV. Likely cause: timezone mismatch. Verified with logs; resolved via targeted configuration correction and validation tests.,"vpn,auth,patch,policy"
ISS-00154,SharePoint permissions drift on OneDrive-User-59 leads to intermittent failures,"Validate scope: reproduce the issue described as 'SharePoint permissions drift on OneDrive-User-59 leads to intermittent failures'. Gather diagnostics (logs, event traces, NetMon/PCAP) on DLP-Policy-77 and impacted clients. Identify blast radius by checking recent changes (patches, policy updates, cert renewals). Apply targeted fix and document exact commands/GUI steps. Verify resolution with the requester; monitor for 24 hours; create problem record if it recurs.",Vivaan Kulkarni,Low,Identity & Access,DLP-Policy-77,Cloud Platform,In Progress,2025-06-26 00:14:22,2025-07-23 10:14:22,SharePoint permissions drift on OneDrive-User-59 leads to intermittent failures. Likely cause: timezone mismatch. Verified with logs; resolved via targeted configuration correction and validation tests.,"identity-&-access,patch,firmware,cert"
ISS-00155,VPN split-tunnel issue for Oracle AR at Mumbai DC,"Validate scope: reproduce the issue described as 'VPN split-tunnel issue for Oracle AR at Mumbai DC'. Gather diagnostics (logs, event traces, NetMon/PCAP) on PLC-Cell-78 and impacted clients. Identify blast radius by checking recent changes (patches, policy updates, cert renewals). Apply targeted fix and document exact commands/GUI steps. Verify resolution with the requester; monitor for 24 hours; create problem record if it recurs.",Neel Gupta,Critical,Cloud/Azure,PLC-Cell-78,Cybersecurity,Known Issue,2025-01-09 11:07:22,2025-01-30 02:07:22,VPN split-tunnel issue for Oracle AR at Mumbai DC. Likely cause: outdated agent version. Verified with logs; resolved via targeted configuration correction and validation tests.,"cloud/azure,patch,firmware,policy"
ISS-00156,Users at Noida Office cannot connect to Oracle AR: TLS handshake errors,"Validate scope: reproduce the issue described as 'Users at Noida Office cannot connect to Oracle AR: TLS handshake errors'. Gather diagnostics (logs, event traces, NetMon/PCAP) on Email-Exchange-47 and impacted clients. Identify blast radius by checking recent changes (patches, policy updates, cert renewals). Apply targeted fix and document exact commands/GUI steps. Verify resolution with the requester; monitor for 24 hours; create problem record if it recurs.",Pooja Kulkarni,High,Printer/Peripheral,Email-Exchange-47,Cybersecurity,Resolved,2025-04-06 09:36:22,2025-04-20 18:36:22,Users at Noida Office cannot connect to Oracle AR: TLS handshake errors. Likely cause: misconfigured firewall rule. Verified with logs; resolved via targeted configuration correction and validation tests.,"printer/peripheral,firmware,qos,cert"
ISS-00157,Login failures for Oracle AP due to driver regression after patch,"Validate scope: reproduce the issue described as 'Login failures for Oracle AP due to driver regression after patch'. Gather diagnostics (logs, event traces, NetMon/PCAP) on Azure-Storage-31 and impacted clients. Identify blast radius by checking recent changes (patches, policy updates, cert renewals). Tune policy scope; add detection exception by hash/path; force agent sync and verify signatures. Apply targeted fix and document exact commands/GUI steps. Verify resolution with the requester; monitor for 24 hours; create problem record if it recurs.",Rahul Verma,Medium,Security - DLP,Azure-Storage-31,Endpoint Engineering,Resolved,2025-06-06 23:57:22,2025-06-23 21:57:22,Login failures for Oracle AP due to driver regression after patch. Likely cause: driver regression after patch. Verified with logs; resolved via targeted configuration correction and validation tests.,"security---dlp,permissions,latency,patch"
ISS-00158,Users at Jamshedpur Plant cannot connect to Outlook: access denied,"Validate scope: reproduce the issue described as 'Users at Jamshedpur Plant cannot connect to Outlook: access denied'. Gather diagnostics (logs, event traces, NetMon/PCAP) on Mendix-OrderApp and impacted clients. Identify blast radius by checking recent changes (patches, policy updates, cert renewals). Tune policy scope; add detection exception by hash/path; force agent sync and verify signatures. Apply targeted fix and document exact commands/GUI steps. Verify resolution with the requester; monitor for 24 hours; create problem record if it recurs.",Nisha Menon,Medium,Security - EDR,Mendix-OrderApp,Network Ops,Resolved,2025-07-10 00:11:22,2025-07-20 13:11:22,Users at Jamshedpur Plant cannot connect to Outlook: access denied. Likely cause: misconfigured firewall rule. Verified with logs; resolved via targeted configuration correction and validation tests.,"security---edr,latency,auth,policy"
ISS-00159,Login failures for Power BI due to timezone mismatch,"Validate scope: reproduce the issue described as 'Login failures for Power BI due to timezone mismatch'. Gather diagnostics (logs, event traces, NetMon/PCAP) on VPN-Gateway-58 and impacted clients. Identify blast radius by checking recent changes (patches, policy updates, cert renewals). Apply targeted fix and document exact commands/GUI steps. Verify resolution with the requester; monitor for 24 hours; create problem record if it recurs.",Yash Agarwal,Low,Identity & Access,VPN-Gateway-58,OT/Plant IT,Known Issue,2025-04-16 14:41:22,2025-04-29 16:41:22,Login failures for Power BI due to timezone mismatch. Likely cause: misconfigured firewall rule. Verified with logs; resolved via targeted configuration correction and validation tests.,"identity-&-access,cert,patch,policy"
ISS-00160,High CPU on DLP-Policy-45 causing file sync backlog,"Validate scope: reproduce the issue described as 'High CPU on DLP-Policy-45 causing file sync backlog'. Gather diagnostics (logs, event traces, NetMon/PCAP) on EDR-Defender-101 and impacted clients. Identify blast radius by checking recent changes (patches, policy updates, cert renewals). Correct permissions/connectors; reindex search; clear client cache and reauthenticate. Apply targeted fix and document exact commands/GUI steps. Verify resolution with the requester; monitor for 24 hours; create problem record if it recurs.",Meera Desai,High,SharePoint/OneDrive,EDR-Defender-101,Collaboration (M365),Resolved,2024-09-15 20:25:22,2024-10-11 18:25:22,High CPU on DLP-Policy-45 causing file sync backlog. Likely cause: misconfigured firewall rule. Verified with logs; resolved via targeted configuration correction and validation tests.,"sharepoint/onedrive,latency,patch,auth"
ISS-00161,VPN split-tunnel issue for Oracle AR at Noida Office,"Validate scope: reproduce the issue described as 'VPN split-tunnel issue for Oracle AR at Noida Office'. Gather diagnostics (logs, event traces, NetMon/PCAP) on SharePoint-Site-120 and impacted clients. Identify blast radius by checking recent changes (patches, policy updates, cert renewals). Tune policy scope; add detection exception by hash/path; force agent sync and verify signatures. Apply targeted fix and document exact commands/GUI steps. Verify resolution with the requester; monitor for 24 hours; create problem record if it recurs.",Ananya Joshi,Low,Security - DLP,SharePoint-Site-120,OT/Plant IT,Resolved,2025-04-05 19:14:22,2025-04-18 15:14:22,VPN split-tunnel issue for Oracle AR at Noida Office. Likely cause: missing group membership. Verified with logs; resolved via targeted configuration correction and validation tests.,"security---dlp,cert,firmware,cache"
ISS-00162,SharePoint permissions drift on MDM-Intune-50 leads to timeouts,"Validate scope: reproduce the issue described as 'SharePoint permissions drift on MDM-Intune-50 leads to timeouts'. Gather diagnostics (logs, event traces, NetMon/PCAP) on OneDrive-User-58 and impacted clients. Identify blast radius by checking recent changes (patches, policy updates, cert renewals). Adjust ACL/NAT and QoS; update route tables; clear ARP/conntrack where needed. Apply targeted fix and document exact commands/GUI steps. Verify resolution with the requester; monitor for 24 hours; create problem record if it recurs.",Rohan Mehta,Medium,Network,OneDrive-User-58,Data Platform,Resolved,2024-09-14 05:29:22,2024-10-09 22:29:22,SharePoint permissions drift on MDM-Intune-50 leads to timeouts. Likely cause: missing group membership. Verified with logs; resolved via targeted configuration correction and validation tests.,"network,patch,driver,dns"
ISS-00163,Login failures for SharePoint due to token cache corruption,"Validate scope: reproduce the issue described as 'Login failures for SharePoint due to token cache corruption'. Gather diagnostics (logs, event traces, NetMon/PCAP) on Oracle-FIN-AP and impacted clients. Identify blast radius by checking recent changes (patches, policy updates, cert renewals). Apply targeted fix and document exact commands/GUI steps. Verify resolution with the requester; monitor for 24 hours; create problem record if it recurs.",Neel Gupta,Medium,Oracle ERP,Oracle-FIN-AP,Service Desk,In Progress,2024-10-09 22:45:22,2024-11-06 12:45:22,Login failures for SharePoint due to token cache corruption. Likely cause: missing group membership. Verified with logs; resolved via targeted configuration correction and validation tests.,"oracle-erp,driver,policy,auth"
ISS-00164,Login failures for Mendix OrderApp due to outdated agent version,"Validate scope: reproduce the issue described as 'Login failures for Mendix OrderApp due to outdated agent version'. Gather diagnostics (logs, event traces, NetMon/PCAP) on Oracle-SCM-INV and impacted clients. Identify blast radius by checking recent changes (patches, policy updates, cert renewals). Tune policy scope; add detection exception by hash/path; force agent sync and verify signatures. Apply targeted fix and document exact commands/GUI steps. Verify resolution with the requester; monitor for 24 hours; create problem record if it recurs.",Sara Khan,Low,Security - DLP,Oracle-SCM-INV,Endpoint Engineering,Resolved,2025-04-30 23:49:22,2025-05-20 03:49:22,Login failures for Mendix OrderApp due to outdated agent version. Likely cause: driver regression after patch. Verified with logs; resolved via targeted configuration correction and validation tests.,"security---dlp,firmware,cert,qos"
ISS-00165,High CPU on DLP-Policy-37 causing invoice posting failures,"Validate scope: reproduce the issue described as 'High CPU on DLP-Policy-37 causing invoice posting failures'. Gather diagnostics (logs, event traces, NetMon/PCAP) on SharePoint-Site-72 and impacted clients. Identify blast radius by checking recent changes (patches, policy updates, cert renewals). Tune policy scope; add detection exception by hash/path; force agent sync and verify signatures. Apply targeted fix and document exact commands/GUI steps. Verify resolution with the requester; monitor for 24 hours; create problem record if it recurs.",Ananya Joshi,High,Security - DLP,SharePoint-Site-72,Mendix Dev,Resolved,2025-02-11 11:54:22,2025-02-15 17:54:22,High CPU on DLP-Policy-37 causing invoice posting failures. Likely cause: driver regression after patch. Verified with logs; resolved via targeted configuration correction and validation tests.,"security---dlp,permissions,driver,qos"
ISS-00166,VPN split-tunnel issue for SharePoint at Mumbai DC,"Validate scope: reproduce the issue described as 'VPN split-tunnel issue for SharePoint at Mumbai DC'. Gather diagnostics (logs, event traces, NetMon/PCAP) on DLP-Policy-54 and impacted clients. Identify blast radius by checking recent changes (patches, policy updates, cert renewals). Apply targeted fix and document exact commands/GUI steps. Verify resolution with the requester; monitor for 24 hours; create problem record if it recurs.",Ananya Joshi,Medium,Mendix App,DLP-Policy-54,Endpoint Engineering,Resolved,2024-12-02 20:25:22,2024-12-11 03:25:22,VPN split-tunnel issue for SharePoint at Mumbai DC. Likely cause: token cache corruption. Verified with logs; resolved via targeted configuration correction and validation tests.,"mendix-app,policy,cert,qos"
ISS-00167,SharePoint permissions drift on Oracle-FIN-AP leads to TLS handshake errors,"Validate scope: reproduce the issue described as 'SharePoint permissions drift on Oracle-FIN-AP leads to TLS handshake errors'. Gather diagnostics (logs, event traces, NetMon/PCAP) on DLP-Policy-71 and impacted clients. Identify blast radius by checking recent changes (patches, policy updates, cert renewals). Adjust ACL/NAT and QoS; update route tables; clear ARP/conntrack where needed. Apply targeted fix and document exact commands/GUI steps. Verify resolution with the requester; monitor for 24 hours; create problem record if it recurs.",Meera Desai,High,VPN,DLP-Policy-71,Cloud Platform,Resolved,2025-02-16 05:15:22,2025-03-12 06:15:22,SharePoint permissions drift on Oracle-FIN-AP leads to TLS handshake errors. Likely cause: timezone mismatch. Verified with logs; resolved via targeted configuration correction and validation tests.,"vpn,permissions,dns,firmware"
ISS-00168,Users at Mumbai DC cannot connect to Teams: latency spikes,"Validate scope: reproduce the issue described as 'Users at Mumbai DC cannot connect to Teams: latency spikes'. Gather diagnostics (logs, event traces, NetMon/PCAP) on VPN-Gateway-39 and impacted clients. Identify blast radius by checking recent changes (patches, policy updates, cert renewals). Apply targeted fix and document exact commands/GUI steps. Verify resolution with the requester; monitor for 24 hours; create problem record if it recurs.",Kabir Iyer,High,Endpoint,VPN-Gateway-39,Collaboration (M365),In Progress,2024-12-11 18:14:22,2025-01-04 12:14:22,Users at Mumbai DC cannot connect to Teams: latency spikes. Likely cause: stale device record. Verified with logs; resolved via targeted configuration correction and validation tests.,"endpoint,cache,firmware,cert"
ISS-00169,High CPU on OneDrive-User-104 causing order processing delays,"Validate scope: reproduce the issue described as 'High CPU on OneDrive-User-104 causing order processing delays'. Gather diagnostics (logs, event traces, NetMon/PCAP) on Oracle-SCM-INV and impacted clients. Identify blast radius by checking recent changes (patches, policy updates, cert renewals). Adjust ACL/NAT and QoS; update route tables; clear ARP/conntrack where needed. Apply targeted fix and document exact commands/GUI steps. Verify resolution with the requester; monitor for 24 hours; create problem record if it recurs.",Yash Agarwal,Medium,VPN,Oracle-SCM-INV,Mendix Dev,Resolved,2024-11-06 22:08:22,2024-11-16 07:08:22,High CPU on OneDrive-User-104 causing order processing delays. Likely cause: DNS misconfiguration. Verified with logs; resolved via targeted configuration correction and validation tests.,"vpn,permissions,auth,cert"
ISS-00170,Users at Chennai Office cannot connect to Oracle AP: expired cert,"Validate scope: reproduce the issue described as 'Users at Chennai Office cannot connect to Oracle AP: expired cert'. Gather diagnostics (logs, event traces, NetMon/PCAP) on MDM-Intune-118 and impacted clients. Identify blast radius by checking recent changes (patches, policy updates, cert renewals). Re-run patch 5000321 with prerequisite servicing stack; rollback driver if regression. Apply targeted fix and document exact commands/GUI steps. Verify resolution with the requester; monitor for 24 hours; create problem record if it recurs.",Vivaan Kulkarni,Low,Patch Mgmt,MDM-Intune-118,Data Platform,In Progress,2024-12-17 08:48:22,2025-01-01 12:48:22,Users at Chennai Office cannot connect to Oracle AP: expired cert. Likely cause: DNS misconfiguration. Verified with logs; resolved via targeted configuration correction and validation tests.,"patch-mgmt,firmware,driver,qos"
ISS-00171,Email delays to @partner.org after change on ADFS-Cluster-89,"Validate scope: reproduce the issue described as 'Email delays to @partner.org after change on ADFS-Cluster-89'. Gather diagnostics (logs, event traces, NetMon/PCAP) on Mendix-OrderApp and impacted clients. Identify blast radius by checking recent changes (patches, policy updates, cert renewals). Apply targeted fix and document exact commands/GUI steps. Verify resolution with the requester; monitor for 24 hours; create problem record if it recurs.",Priya Rao,Critical,Endpoint,Mendix-OrderApp,Collaboration (M365),In Progress,2024-08-14 10:28:22,2024-09-07 00:28:22,Email delays to @partner.org after change on ADFS-Cluster-89. Likely cause: stale device record. Verified with logs; resolved via targeted configuration correction and validation tests.,"endpoint,auth,permissions,firmware"
ISS-00172,High CPU on DLP-Policy-35 causing production halt in cell 3,"Validate scope: reproduce the issue described as 'High CPU on DLP-Policy-35 causing production halt in cell 3'. Gather diagnostics (logs, event traces, NetMon/PCAP) on MDM-Intune-106 and impacted clients. Identify blast radius by checking recent changes (patches, policy updates, cert renewals). Apply targeted fix and document exact commands/GUI steps. Verify resolution with the requester; monitor for 24 hours; create problem record if it recurs.",Sara Khan,Medium,Identity & Access,MDM-Intune-106,Mendix Dev,In Progress,2025-04-17 22:20:22,2025-05-08 23:20:22,High CPU on DLP-Policy-35 causing production halt in cell 3. Likely cause: expired certificate. Verified with logs; resolved via targeted configuration correction and validation tests.,"identity-&-access,auth,qos,latency"
ISS-00173,Email delays to @vendor.com after change on MDM-Intune-26,"Validate scope: reproduce the issue described as 'Email delays to @vendor.com after change on MDM-Intune-26'. Gather diagnostics (logs, event traces, NetMon/PCAP) on SharePoint-Site-57 and impacted clients. Identify blast radius by checking recent changes (patches, policy updates, cert renewals). Apply targeted fix and document exact commands/GUI steps. Verify resolution with the requester; monitor for 24 hours; create problem record if it recurs.",Vivaan Kulkarni,Low,Endpoint,SharePoint-Site-57,Cloud Platform,Known Issue,2024-12-30 14:04:22,2025-01-10 22:04:22,Email delays to @vendor.com after change on MDM-Intune-26. Likely cause: misconfigured firewall rule. Verified with logs; resolved via targeted configuration correction and validation tests.,"endpoint,patch,cert,latency"
ISS-00174,VPN split-tunnel issue for Oracle AR at Mumbai DC,"Validate scope: reproduce the issue described as 'VPN split-tunnel issue for Oracle AR at Mumbai DC'. Gather diagnostics (logs, event traces, NetMon/PCAP) on Azure-Storage-93 and impacted clients. Identify blast radius by checking recent changes (patches, policy updates, cert renewals). Apply targeted fix and document exact commands/GUI steps. Verify resolution with the requester; monitor for 24 hours; create problem record if it recurs.",Kabir Iyer,Low,Mendix App,Azure-Storage-93,Endpoint Engineering,Resolved,2024-10-19 05:37:22,2024-11-05 02:37:22,VPN split-tunnel issue for Oracle AR at Mumbai DC. Likely cause: timezone mismatch. Verified with logs; resolved via targeted configuration correction and validation tests.,"mendix-app,latency,driver,patch"
ISS-00175,Email delays to @partner.org after change on Oracle-SCM-INV,"Validate scope: reproduce the issue described as 'Email delays to @partner.org after change on Oracle-SCM-INV'. Gather diagnostics (logs, event traces, NetMon/PCAP) on Oracle-FIN-AP and impacted clients. Identify blast radius by checking recent changes (patches, policy updates, cert renewals). Apply targeted fix and document exact commands/GUI steps. Verify resolution with the requester; monitor for 24 hours; create problem record if it recurs.",Ritu Jain,Medium,Printer/Peripheral,Oracle-FIN-AP,Endpoint Engineering,Open,2024-10-03 14:43:22,2024-10-14 23:43:22,Email delays to @partner.org after change on Oracle-SCM-INV. Likely cause: missing group membership. Verified with logs; resolved via targeted configuration correction and validation tests.,"printer/peripheral,firmware,cert,cache"
ISS-00176,VPN split-tunnel issue for Oracle AP at Mumbai DC,"Validate scope: reproduce the issue described as 'VPN split-tunnel issue for Oracle AP at Mumbai DC'. Gather diagnostics (logs, event traces, NetMon/PCAP) on Edge-Switch-79 and impacted clients. Identify blast radius by checking recent changes (patches, policy updates, cert renewals). Apply targeted fix and document exact commands/GUI steps. Verify resolution with the requester; monitor for 24 hours; create problem record if it recurs.",Priya Rao,High,Endpoint,Edge-Switch-79,Data Platform,In Progress,2025-03-11 07:06:22,2025-03-25 13:06:22,VPN split-tunnel issue for Oracle AP at Mumbai DC. Likely cause: misconfigured firewall rule. Verified with logs; resolved via targeted configuration correction and validation tests.,"endpoint,auth,cert,driver"
ISS-00177,Email delays to @customer.com after change on Oracle-SCM-INV,"Validate scope: reproduce the issue described as 'Email delays to @customer.com after change on Oracle-SCM-INV'. Gather diagnostics (logs, event traces, NetMon/PCAP) on Email-Exchange-45 and impacted clients. Identify blast radius by checking recent changes (patches, policy updates, cert renewals). Adjust ACL/NAT and QoS; update route tables; clear ARP/conntrack where needed. Apply targeted fix and document exact commands/GUI steps. Verify resolution with the requester; monitor for 24 hours; create problem record if it recurs.",Ishita Nair,High,VPN,Email-Exchange-45,Cloud Platform,In Progress,2025-06-16 07:09:22,2025-07-05 16:09:22,Email delays to @customer.com after change on Oracle-SCM-INV. Likely cause: expired certificate. Verified with logs; resolved via targeted configuration correction and validation tests.,"vpn,driver,policy,dns"
ISS-00178,Email delays to @customer.com after change on Core-Router-101,"Validate scope: reproduce the issue described as 'Email delays to @customer.com after change on Core-Router-101'. Gather diagnostics (logs, event traces, NetMon/PCAP) on OneDrive-User-96 and impacted clients. Identify blast radius by checking recent changes (patches, policy updates, cert renewals). Coordinate maintenance window; apply vendor firmware; validate PLC/SCADA comms with loopback tests. Apply targeted fix and document exact commands/GUI steps. Verify resolution with the requester; monitor for 24 hours; create problem record if it recurs.",Ishita Nair,Medium,Manufacturing OT,OneDrive-User-96,Collaboration (M365),In Progress,2025-07-05 06:27:22,2025-07-21 06:27:22,Email delays to @customer.com after change on Core-Router-101. Likely cause: stale device record. Verified with logs; resolved via targeted configuration correction and validation tests.,"manufacturing-ot,patch,cert,firmware"
ISS-00179,SharePoint permissions drift on SharePoint-Site-98 leads to corrupted profile,"Validate scope: reproduce the issue described as 'SharePoint permissions drift on SharePoint-Site-98 leads to corrupted profile'. Gather diagnostics (logs, event traces, NetMon/PCAP) on MDM-Intune-47 and impacted clients. Identify blast radius by checking recent changes (patches, policy updates, cert renewals). Apply targeted fix and document exact commands/GUI steps. Verify resolution with the requester; monitor for 24 hours; create problem record if it recurs.",Kabir Iyer,Medium,Printer/Peripheral,MDM-Intune-47,Network Ops,Open,2024-11-30 13:22:22,2024-12-02 01:22:22,SharePoint permissions drift on SharePoint-Site-98 leads to corrupted profile. Likely cause: token cache corruption. Verified with logs; resolved via targeted configuration correction and validation tests.,"printer/peripheral,policy,permissions,firmware"
ISS-00180,VPN split-tunnel issue for Oracle AP at Chennai Office,"Validate scope: reproduce the issue described as 'VPN split-tunnel issue for Oracle AP at Chennai Office'. Gather diagnostics (logs, event traces, NetMon/PCAP) on Email-Exchange-11 and impacted clients. Identify blast radius by checking recent changes (patches, policy updates, cert renewals). Apply targeted fix and document exact commands/GUI steps. Verify resolution with the requester; monitor for 24 hours; create problem record if it recurs.",Kabir Iyer,Low,Mendix App,Email-Exchange-11,Cloud Platform,Known Issue,2024-10-31 04:43:22,2024-11-12 22:43:22,VPN split-tunnel issue for Oracle AP at Chennai Office. Likely cause: misconfigured firewall rule. Verified with logs; resolved via targeted configuration correction and validation tests.,"mendix-app,policy,firmware,dns"
ISS-00181,Email delays to @vendor.com after change on EDR-Defender-79,"Validate scope: reproduce the issue described as 'Email delays to @vendor.com after change on EDR-Defender-79'. Gather diagnostics (logs, event traces, NetMon/PCAP) on VPN-Gateway-12 and impacted clients. Identify blast radius by checking recent changes (patches, policy updates, cert renewals). Adjust ACL/NAT and QoS; update route tables; clear ARP/conntrack where needed. Apply targeted fix and document exact commands/GUI steps. Verify resolution with the requester; monitor for 24 hours; create problem record if it recurs.",Nisha Menon,Medium,Network,VPN-Gateway-12,Network Ops,Resolved,2024-11-09 14:23:22,2024-12-01 18:23:22,Email delays to @vendor.com after change on EDR-Defender-79. Likely cause: expired certificate. Verified with logs; resolved via targeted configuration correction and validation tests.,"network,cert,qos,patch"
